route_id,route_short_name,route_long_name,route_type,agency_id
879,,IC 2264,2,DB
880,,ICE 516,2,DB
881,,ICE 786,2,DB
882,,IC 2263,2,DB
883,,IC 2362,2,DB
884,,ICE 517,2,DB
885,,ICE 1502,2,DB
886,,ICE 537,2,DB
887,,ICE 587,2,DB
888,,IC 2262,2,DB
889,,IC 2094,2,DB
890,,ICE 519,2,DB
891,,ICE 512,2,DB
892,,ICE 590,2,DB
893,,IC 2092,2,DB
894,,ICE 580,2,DB
895,,ICE 611,2,DB
896,,ICE 510,2,DB
897,,IC 2267,2,DB
898,,ICE 990,2,DB
899,,IC 2295,2,DB
900,,ICE 613,2,DB
901,,ICE 615,2,DB
902,,ICE 985,2,DB
903,,IC 2294,2,DB
904,,ICE 981,2,DB
905,,IC 2266,2,DB
906,,ICE 893,2,DB
907,,IC 2087,2,DB
908,,ICE 989,2,DB
909,,IC 2097,2,DB
910,,ICE 895,2,DB
911,,IC 2268,2,DB
912,,ICE 699,2,DB
913,,ICE 591,2,DB
914,,EC 217,2,DB
915,,ICE 991,2,DB
916,,ICE 680,2,DB
917,,IC 2528,2,DB
918,,IC 2529,2,DB
919,,ICE 277,2,DB
920,,ICE 279,2,DB
921,,IC 148,2,NS
922,,IC 146,2,NS
923,,ICE 1040,2,DB
924,,IC 144,2,NS
925,,ICE 375,2,DB
926,,IC 142,2,NS
927,,ICE 1699,2,DB
928,,IC 1923,2,DB
929,,ICE 377,2,DB
930,,IC 140,2,NS
931,,ICE 1591,2,DB
932,,ICE 877,2,DB
933,,IC 2242,2,DB
934,,IC 240,2,NS
935,,IC 1929,2,DB
936,,IC 1913,2,DB
937,,ICE 1878,2,DB
938,,IC 2584,2,DB
939,,ICE 1052,2,DB
940,,ICE 942,2,DB
941,,IC 1921,2,DB
942,,ICE 995,2,DB
943,,ICE 1271,2,SBB
944,,IC 1951,2,DB
945,,ICE 1285,2,DB
946,,ICE 674,2,DB
947,,ICE 374,2,DB
948,,ICE 78,2,DB
949,,ICE 271,2,SBB
950,,ICE 76,2,DB
951,,ICE 200,2,DB
952,,ICE 370,2,DB
953,,ICE 101,2,DB
954,,EC 151,2,EC
955,,ICE 74,2,DB
956,,ICE 108,2,DB
957,,EC 8,2,DB
958,,ICE 72,2,DB
959,,ICE 106,2,DB
960,,ICE 276,2,DB
961,,ICE 105,2,DB
962,,ICE 73,2,SBB
963,,ICE 70,2,DB
964,,ICE 204,2,DB
