route_id,service_id,trip_id,trip_headsign
42,153,210,München Hbf
46,154,211,Essen Hbf
50,155,212,Garmisch-Partenkirchen
46,156,213,Dortmund Hbf
22,157,214,Dortmund Hbf
27,158,215,Dortmund Hbf
30,155,216,Dortmund Hbf
15,159,217,Dortmund Hbf
22,160,218,Essen Hbf
30,161,219,Dortmund Hbf
31,162,220,München Hbf
14,38,221,München Hbf
37,40,222,München Hbf
50,40,223,München Hbf
19,40,224,München Hbf
21,40,225,München Hbf
23,38,226,München Hbf
16,41,227,München Hbf
19,41,228,Nürnberg Hbf
21,41,229,Nürnberg Hbf
27,41,230,Dortmund Hbf
31,41,231,München Hbf
13,163,232,München Hbf
14,47,233,München Hbf
37,47,234,Nürnberg Hbf
50,47,235,Nürnberg Hbf
19,47,236,München Hbf
21,164,237,Nürnberg Hbf
23,164,238,Nürnberg Hbf
27,164,239,Dortmund Hbf
30,164,240,Dortmund Hbf
14,48,241,München Hbf
16,48,242,München Hbf
19,48,243,Nürnberg Hbf
13,165,244,München Hbf
45,166,245,Düsseldorf Hbf
13,49,246,Frankfurt(M) Flughafen Fernbf
14,49,247,München Hbf
15,49,248,Dortmund Hbf
16,49,249,München Hbf
17,49,250,Düsseldorf Hbf
18,49,251,Frankfurt(M) Flughafen Fernbf
40,167,252,Stuttgart Hbf
13,168,253,Frankfurt(Main)Hbf
42,169,254,München Hbf
52,170,255,Köln Hbf
53,171,256,Frankfurt(Main)Hbf
33,172,257,Basel Bad Bf
27,173,258,Dortmund Hbf
15,174,259,Dortmund Hbf
43,175,260,Frankfurt(Main)Hbf
